SCREEN NAME,Login Page,,,,,,,,,
PREPARED BY,QA Team,,,,,,,,,
DESIGNATION,Test Engineer,,,,,,,,,
DATE,2026-01-10,,,,,,,,,
,,,,,,,,,,
SCENARIO ID,TS_AUTH_001,SCENARIO DESCRIPTION,User Authentication - Login Functionality,,,,,,,
,,,,,,,,,,
S.NO,TEST CASE ID,TEST CASE DESCRIPTION,PRECONDITION,TEST DATA,EXPECTED RESULT,POSTCONDITION,ACTUAL RESULT,STATUS,DEFECT ID,COMMENTS
1,TC_AUTH_001,Verify successful login with valid credentials,User account exists in database,"Email: 'user1@realestate.com'; Password: 'password123'",User successfully logged in and redirected to home page,User session created and authenticated,User successfully logged in and redirected to home page,PASSED,,"Positive test case, happy path"
2,TC_AUTH_002,Verify login fails with invalid email format,Application is accessible,Email: 'invalidemail' (no @ symbol); Password: 'password123',Error message displayed indicating invalid email format,User remains on login page,Error message displayed indicating invalid email format,PASSED,,"Negative test case, input validation"
3,TC_AUTH_003,Verify login fails with incorrect password,User account exists,"Email: 'user1@realestate.com'; Password: 'wrongpassword'",Error message displayed indicating incorrect credentials,User remains on login page; No session created,Error message displayed indicating incorrect credentials,PASSED,,Negative test case
4,TC_AUTH_004,Verify login fails with empty email and password fields,Application is accessible,Email: '' (empty); Password: '' (empty),Error message displayed for required fields,User remains on login page,Error message displayed for required fields,PASSED,,Boundary test - empty inputs
5,TC_AUTH_005,Verify Forgot Password link navigates correctly,Login page is displayed,Link: 'Forgot Password',User navigated to Forgot Password page,URL contains /forgot-password,User navigated to Forgot Password page,PASSED,,Navigation test
6,TC_AUTH_006,Verify login fails with invalid email format variations,Application is accessible,"Email: 'test@'; Email: '@test.com'; Password: 'password123'",Error message displayed for each invalid format,User remains on login page,Error message displayed for each invalid format,PASSED,,Multiple invalid format tests
7,TC_AUTH_007,Verify email field handles special characters,Application is accessible,"Email: 'test+special@email.com'; Password: 'password123'",System handles special characters appropriately,Login succeeds or shows appropriate error,System handles special characters appropriately,PASSED,,Special character handling
8,TC_AUTH_008,Verify email trimming removes leading/trailing spaces,Application is accessible,"Email: '  user1@realestate.com  ' (with spaces); Password: 'password123'",Login succeeds with trimmed email,User logged in successfully,Login succeeds with trimmed email,PASSED,,Input sanitization test
9,TC_AUTH_009,Verify all login page elements are present,Application is accessible,URL: /login,"Email field, Password field, Login button, Forgot Password link, Register link visible",Page displayed with all elements,All required elements present on login page,PASSED,,UI verification test
10,TC_AUTH_010,Verify password field is masked,Application is accessible,Password: 'testpassword123',Password characters displayed as dots/asterisks,Password not visible in plain text,Password characters displayed as dots/asterisks,PASSED,,Security test
11,TC_AUTH_011,Verify XSS attack prevention in login fields,Application is accessible,"Email: '<script>alert(xss)</script>'; Password: 'test'",XSS script not executed; Input sanitized or rejected,No JavaScript execution; System secure,XSS script not executed - input sanitized,PASSED,,Security test - XSS prevention
12,TC_AUTH_012,Verify password is not exposed in URL,Application is accessible,"Email: 'user1@realestate.com'; Password: 'password123'; Method: POST",Password not visible in URL parameters,Password transmitted securely,Password not visible in URL parameters,PASSED,,Security test
13,TC_AUTH_013,Verify session persistence after page refresh,User is logged in,Action: Browser Refresh (F5),User remains logged in after refresh,Session persists correctly,User session not persisting after page refresh - user logged out unexpectedly,FAILED,DEF-2026-015,Session management test
14,TC_AUTH_014,Verify logout functionality,User is logged in,Action: Logout Button,User logged out and redirected to home/login page,Session destroyed; User unauthenticated,User logged out and redirected to home/login page,PASSED,,Logout functionality test
15,TC_AUTH_015,Verify back button behavior after login,User successfully logged in,Action: Browser Back Button,User not able to access login page (redirected) OR session maintained,Proper session handling,Back button after login redirects to login page instead of preventing navigation,FAILED,DEF-2026-014,Navigation security test
