SCREEN NAME,Register Page,,,,,,,,,
PREPARED BY,QA Team,,,,,,,,,
DESIGNATION,Test Engineer,,,,,,,,,
DATE,1/10/2026,,,,,,,,,
,,,,,,,,,,
SCENARIO ID,TS_AUTH_002,SCENARIO DESCRIPTION,User Authentication - Registration Process,,,,,,,
,,,,,,,,,,
S.NO,TEST CASE ID,TEST CASE DESCRIPTION,PRECONDITION,TEST DATA,EXPECTED RESULT,POSTCONDITION,ACTUAL RESULT,STATUS,DEFECT ID,COMMENTS
1,TC_AUTH_016,Verify successful registration as regular user,Application is accessible; Email not already registered,FirstName: 'Test'; LastName: 'User'; Email: 'newuser@test.com'; Password: 'SecurePass123!'; Role: 'User',User registered successfully and auto-logged in,New user account created in database,User registered successfully and auto-logged in,PASSED,,Positive test - User role
2,TC_AUTH_017,Verify successful registration as developer,Application is accessible; Email not already registered,FirstName: 'Dev'; LastName: 'User'; Email: 'newdev@test.com'; Password: 'SecurePass123!'; Role: 'Developer',Developer registered successfully and auto-logged in,New developer account created,Developer registered successfully and auto-logged in,PASSED,,Positive test - Developer role
3,TC_AUTH_018,Verify registration fails with duplicate email,Application is accessible; Email already exists in system,FirstName: 'Test'; LastName: 'User'; Email: 'user1@realestate.com'; Password: 'SecurePass123!',Error message indicating email already registered,No duplicate account created,Error message indicating email already registered,PASSED,,Negative test - duplicate prevention
4,TC_AUTH_019,Verify registration fails with weak password,Application is accessible,FirstName: 'Test'; LastName: 'User'; Email: 'new@test.com'; Password: '123',Error message indicating password requirements not met,Registration not completed,Weak password validation bypassed - system accepting passwords below strength requirements,FAILED,DEF-2026-013,Security test - password policy
5,TC_AUTH_020,Verify registration fails with missing required fields,Application is accessible,FirstName: '' (empty); LastName: '' (empty); Email: '' (empty); Password: '' (empty),Error messages displayed for all required fields,Registration not completed,Error messages displayed for all required fields,PASSED,,Validation test - required fields
6,TC_AUTH_021,Verify handling of extremely long input values,Application is accessible,FirstName: 'A' x 500 characters; Email: 'test' x 300 + '@test.com',System handles gracefully without crash; Shows appropriate error if too long,No system crash; Proper validation,System handles gracefully without crash,PASSED,,Boundary test - max length
7,TC_AUTH_022,Verify minimum password length (8 characters),Application is accessible,FirstName: 'Test'; Email: 'min@test.com'; Password: 'Pass123!' (8 chars),Registration succeeds with 8-character password,Account created with minimum valid password,Registration succeeds with 8-character password,PASSED,,Boundary test - min password
8,TC_AUTH_023,Verify maximum password length (128 characters),Application is accessible,FirstName: 'Test'; Email: 'max@test.com'; Password: 'A' x 128 characters,Registration succeeds with maximum length password,Account created with max valid password,Maximum password length validation not enforced - allows passwords exceeding limit,FAILED,DEF-2026-012,Boundary test - max password
9,TC_AUTH_024,Verify all register page elements are present,Application is accessible,URL: /register,"FirstName, LastName, Email, Password, Role selector, Register button visible",Page displayed with all required elements,All required elements present on register page,PASSED,,UI verification test
10,TC_AUTH_025,Verify password field is masked on register page,Application is accessible,Password: 'testpassword123',Password characters displayed as dots/asterisks,Password not visible in plain text,Password characters displayed as dots/asterisks,PASSED,,Security test - password masking
11,TC_AUTH_026,Verify auto-login after successful registration,Application is accessible,FirstName: 'Auto'; LastName: 'Login'; Email: 'autologin@test.com'; Password: 'SecurePass123!',User automatically logged in after registration,Session created; User on home page,User automatically logged in after registration,PASSED,,User experience test
12,TC_AUTH_027,Verify role persistence after logout and re-login,User registered as Developer; Then logged out,Email: 'devuser@test.com'; Password: 'SecurePass123!'; Expected Role: 'Developer',User role (Developer) persists correctly after re-login,Role matches original registration,User role not persisting after registration - defaults to wrong role on login,FAILED,DEF-2026-011,Data integrity test
