SCREEN NAME,Forgot Password / Reset Password Pages,,,,,,,,,
PREPARED BY,QA Team,,,,,,,,,
DESIGNATION,Test Engineer,,,,,,,,,
DATE,1/10/2026,,,,,,,,,
,,,,,,,,,,
SCENARIO ID,TS_AUTH_003,SCENARIO DESCRIPTION,User Authentication - Password Reset Flow,,,,,,,
,,,,,,,,,,
S.NO,TEST CASE ID,TEST CASE DESCRIPTION,PRECONDITION,TEST DATA,EXPECTED RESULT,POSTCONDITION,ACTUAL RESULT,STATUS,DEFECT ID,COMMENTS
1,TC_AUTH_028,Verify forgot password request with valid email,Email service configured; User account exists,Email: 'user1@realestate.com',Success message displayed; Reset email sent,Reset token generated and emailed,Password reset email not being sent to valid email addresses,FAILED,DEF-2026-016,Positive test - Forgot Password
2,TC_AUTH_029,Verify forgot password fails with invalid/non-existent email,Email service configured,Email: 'nonexistent@test.com',Error message indicating email not found OR generic message for security,No reset email sent,Error message indicating email not found,PASSED,,Negative test - invalid email
3,TC_AUTH_030,Verify forgot password fails with empty email,Application is accessible,Email: '' (empty),Error message indicating email is required,No action taken; User remains on page,Error message indicating email is required,PASSED,,Validation test - required field
4,TC_AUTH_031,Verify forgot password page elements are present,Application is accessible,URL: /forgot-password,"Email field, Submit button, Back to Login link visible",Page displayed with all elements,All required elements present on forgot password page,PASSED,,UI verification test
5,TC_AUTH_032,Verify password reset with valid token,Valid reset token generated; User accessed reset link,Token: 'valid_token_abc123'; NewPassword: 'NewSecure123!'; ConfirmPassword: 'NewSecure123!',Password reset successfully; User can login with new password,Password updated in database,Password reset with valid token completely broken - users cannot reset passwords,FAILED,DEF-2026-010,Positive test - Reset Password
6,TC_AUTH_033,Verify password reset fails with mismatched passwords,Valid reset token exists,Token: 'valid_token'; NewPassword: 'NewSecure123!'; ConfirmPassword: 'DifferentPass123!',Error message indicating passwords do not match,Password not changed,Error message indicating passwords do not match,PASSED,,Negative test - password mismatch
7,TC_AUTH_034,Verify password reset fails with invalid/expired token,Expired or invalid token used,Token: 'invalid_or_expired_token'; NewPassword: 'NewSecure123!',Error message indicating invalid or expired token,Password not changed; User prompted to request new reset,Invalid token error handling fails - user not receiving proper error message,FAILED,DEF-2026-009,Security test - token validation
8,TC_AUTH_035,Verify reset password page elements with valid token,Valid reset token in URL,URL: /reset-password?token=valid_token_abc123,"New Password field, Confirm Password field, Reset button visible",Page displayed with all elements,All required elements present on reset password page,PASSED,,UI verification test
